judging from previous posts this used to be a good place , but not any longer . [A] [O] [S] [C]	[A] place [O] not any longer [S] bad [C] restaurant general
we ordered the chicken casserole , but what we got were a few small pieces of chicken , all dark meat and on the bone . [A] [S] [O] [C]	[A] chicken casserole [S] bad [O] null [C] food quality [SSEP] [A] chicken casserole [S] bad [O] null [C] food style_options
we ordered the chicken casserole , but what we got were a few small pieces of chicken , all dark meat and on the bone . [O] [A] [C] [S]	[O] null [A] chicken casserole [C] food quality [S] bad [SSEP] [O] null [A] chicken casserole [C] food style_options [S] bad
we ordered the chicken casserole , but what we got were a few small pieces of chicken , all dark meat and on the bone . [O] [A] [S] [C]	[O] null [A] chicken casserole [S] bad [C] food quality [SSEP] [O] null [A] chicken casserole [S] bad [C] food style_options
probably would not go again . . . [A] [O] [S] [C]	[A] it [O] null [S] bad [C] restaurant general
probably would not go again . . . [A] [O] [C] [S]	[A] it [O] null [C] restaurant general [S] bad
probably would not go again . . . [A] [S] [O] [C]	[A] it [S] bad [O] null [C] restaurant general
probably would not go again . . . [O] [A] [C] [S]	[O] null [A] it [C] restaurant general [S] bad
probably would not go again . . . [O] [A] [S] [C]	[O] null [A] it [S] bad [C] restaurant general
i ' ve been to sapphire twice and both times the food was fine , if not good . [A] [O] [S] [C]	[A] food [O] fine [S] good [C] food quality
i ' ve been to sapphire twice and both times the food was fine , if not good . [A] [O] [C] [S]	[A] food [O] fine [C] food quality [S] good
i ' ve been to sapphire twice and both times the food was fine , if not good . [A] [S] [O] [C]	[A] food [S] good [O] fine [C] food quality
i ' ve been to sapphire twice and both times the food was fine , if not good . [O] [A] [C] [S]	[O] fine [A] food [C] food quality [S] good
i ' ve been to sapphire twice and both times the food was fine , if not good . [O] [A] [S] [C]	[O] fine [A] food [S] good [C] food quality
stick with the chicken , beef , and lamb dishes . [A] [O] [S] [C]	[A] chicken [O] stick [S] good [C] food quality [SSEP] [A] beef [O] stick [S] good [C] food quality [SSEP] [A] lamb dishes [O] stick [S] good [C] food quality
stick with the chicken , beef , and lamb dishes . [A] [O] [C] [S]	[A] chicken [O] stick [C] food quality [S] good [SSEP] [A] beef [O] stick [C] food quality [S] good [SSEP] [A] lamb dishes [O] stick [C] food quality [S] good
stick with the chicken , beef , and lamb dishes . [A] [S] [O] [C]	[A] chicken [S] good [O] stick [C] food quality [SSEP] [A] beef [S] good [O] stick [C] food quality [SSEP] [A] lamb dishes [S] good [O] stick [C] food quality
stick with the chicken , beef , and lamb dishes . [O] [A] [C] [S]	[O] stick [A] chicken [C] food quality [S] good [SSEP] [O] stick [A] beef [C] food quality [S] good [SSEP] [O] stick [A] lamb dishes [C] food quality [S] good
stick with the chicken , beef , and lamb dishes . [O] [A] [S] [C]	[O] stick [A] chicken [S] good [C] food quality [SSEP] [O] stick [A] beef [S] good [C] food quality [SSEP] [O] stick [A] lamb dishes [S] good [C] food quality
service is friendly , and never had a problem walking in and getting a table . [A] [O] [S] [C]	[A] service [O] friendly [S] good [C] service general [SSEP] [A] it [O] null [S] good [C] restaurant miscellaneous
service is friendly , and never had a problem walking in and getting a table . [A] [O] [C] [S]	[A] service [O] friendly [C] service general [S] good [SSEP] [A] it [O] null [C] restaurant miscellaneous [S] good
service is friendly , and never had a problem walking in and getting a table . [A] [S] [O] [C]	[A] service [S] good [O] friendly [C] service general [SSEP] [A] it [S] good [O] null [C] restaurant miscellaneous
service is friendly , and never had a problem walking in and getting a table . [O] [A] [C] [S]	[O] friendly [A] service [C] service general [S] good [SSEP] [O] null [A] it [C] restaurant miscellaneous [S] good
service is friendly , and never had a problem walking in and getting a table . [O] [A] [S] [C]	[O] friendly [A] service [S] good [C] service general [SSEP] [O] null [A] it [S] good [C] restaurant miscellaneous
skip dessert . [A] [O] [S] [C]	[A] dessert [O] skip [S] bad [C] food quality
skip dessert . [A] [O] [C] [S]	[A] dessert [O] skip [C] food quality [S] bad
skip dessert . [A] [S] [O] [C]	[A] dessert [S] bad [O] skip [C] food quality
skip dessert . [O] [A] [C] [S]	[O] skip [A] dessert [C] food quality [S] bad
skip dessert . [O] [A] [S] [C]	[O] skip [A] dessert [S] bad [C] food quality
best reuben sandwich ever ! [A] [O] [S] [C]	[A] reuben sandwich [O] best [S] good [C] food quality
best reuben sandwich ever ! [A] [O] [C] [S]	[A] reuben sandwich [O] best [C] food quality [S] good
best reuben sandwich ever ! [A] [S] [O] [C]	[A] reuben sandwich [S] good [O] best [C] food quality
best reuben sandwich ever ! [O] [A] [C] [S]	[O] best [A] reuben sandwich [C] food quality [S] good
best reuben sandwich ever ! [O] [A] [S] [C]	[O] best [A] reuben sandwich [S] good [C] food quality
a classic ! [A] [O] [S] [C]	[A] it [O] classic [S] good [C] food quality
a classic ! [A] [O] [C] [S]	[A] it [O] classic [C] food quality [S] good
a classic ! [A] [S] [O] [C]	[A] it [S] good [O] classic [C] food quality
a classic ! [O] [A] [C] [S]	[O] classic [A] it [C] food quality [S] good
a classic ! [O] [A] [S] [C]	[O] classic [A] it [S] good [C] food quality
do n ' t miss bloom ' s on your next trip to manhatten . [A] [O] [S] [C]	[A] bloom ' s [O] n ' t miss [S] bad [C] restaurant general
do n ' t miss bloom ' s on your next trip to manhatten . [A] [O] [C] [S]	[A] bloom ' s [O] n ' t miss [C] restaurant general [S] bad
do n ' t miss bloom ' s on your next trip to manhatten . [A] [S] [O] [C]	[A] bloom ' s [S] bad [O] n ' t miss [C] restaurant general
do n ' t miss bloom ' s on your next trip to manhatten . [O] [A] [C] [S]	[O] n ' t miss [A] bloom ' s [C] restaurant general [S] bad
do n ' t miss bloom ' s on your next trip to manhatten . [O] [A] [S] [C]	[O] n ' t miss [A] bloom ' s [S] bad [C] restaurant general
it was the first place we ate on our first trip to new york , and it will be the last place we stop as we head out of town on our next trip to new york . [A] [O] [S] [C]	[A] place [O] null [S] good [C] restaurant miscellaneous
it was the first place we ate on our first trip to new york , and it will be the last place we stop as we head out of town on our next trip to new york . [A] [O] [C] [S]	[A] place [O] null [C] restaurant miscellaneous [S] good
it was the first place we ate on our first trip to new york , and it will be the last place we stop as we head out of town on our next trip to new york . [A] [S] [O] [C]	[A] place [S] good [O] null [C] restaurant miscellaneous
it was the first place we ate on our first trip to new york , and it will be the last place we stop as we head out of town on our next trip to new york . [O] [A] [C] [S]	[O] null [A] place [C] restaurant miscellaneous [S] good
it was the first place we ate on our first trip to new york , and it will be the last place we stop as we head out of town on our next trip to new york . [O] [A] [S] [C]	[O] null [A] place [S] good [C] restaurant miscellaneous
thanks bloom ' s for a lovely trip . [A] [O] [S] [C]	[A] bloom ' s [O] lovely [S] good [C] restaurant general
thanks bloom ' s for a lovely trip . [A] [O] [C] [S]	[A] bloom ' s [O] lovely [C] restaurant general [S] good
thanks bloom ' s for a lovely trip . [A] [S] [O] [C]	[A] bloom ' s [S] good [O] lovely [C] restaurant general
thanks bloom ' s for a lovely trip . [O] [A] [C] [S]	[O] lovely [A] bloom ' s [C] restaurant general [S] good
thanks bloom ' s for a lovely trip . [O] [A] [S] [C]	[O] lovely [A] bloom ' s [S] good [C] restaurant general
the food was not fresh , the sauces were bland and very oily . [A] [O] [S] [C]	[A] food [O] not fresh [S] bad [C] food quality [SSEP] [A] sauces [O] bland [S] bad [C] food quality [SSEP] [A] sauces [O] oily [S] bad [C] food quality
the food was not fresh , the sauces were bland and very oily . [A] [O] [C] [S]	[A] food [O] not fresh [C] food quality [S] bad [SSEP] [A] sauces [O] bland [C] food quality [S] bad [SSEP] [A] sauces [O] oily [C] food quality [S] bad
the food was not fresh , the sauces were bland and very oily . [A] [S] [O] [C]	[A] food [S] bad [O] not fresh [C] food quality [SSEP] [A] sauces [S] bad [O] bland [C] food quality [SSEP] [A] sauces [S] bad [O] oily [C] food quality
the food was not fresh , the sauces were bland and very oily . [O] [A] [C] [S]	[O] not fresh [A] food [C] food quality [S] bad [SSEP] [O] bland [A] sauces [C] food quality [S] bad [SSEP] [O] oily [A] sauces [C] food quality [S] bad
the food was not fresh , the sauces were bland and very oily . [O] [A] [S] [C]	[O] not fresh [A] food [S] bad [C] food quality [SSEP] [O] bland [A] sauces [S] bad [C] food quality [SSEP] [O] oily [A] sauces [S] bad [C] food quality
it just was n ' t thai . [A] [O] [S] [C]	[A] it [O] null [S] bad [C] food quality
it just was n ' t thai . [A] [O] [C] [S]	[A] it [O] null [C] food quality [S] bad
it just was n ' t thai . [A] [S] [O] [C]	[A] it [S] bad [O] null [C] food quality
it just was n ' t thai . [O] [A] [C] [S]	[O] null [A] it [C] food quality [S] bad
it just was n ' t thai . [O] [A] [S] [C]	[O] null [A] it [S] bad [C] food quality
was surprisingly disappointed . [A] [O] [S] [C]	[A] it [O] disappointed [S] bad [C] food quality
was surprisingly disappointed . [A] [O] [C] [S]	[A] it [O] disappointed [C] food quality [S] bad
was surprisingly disappointed . [A] [S] [O] [C]	[A] it [S] bad [O] disappointed [C] food quality
was surprisingly disappointed . [O] [A] [C] [S]	[O] disappointed [A] it [C] food quality [S] bad
was surprisingly disappointed . [O] [A] [S] [C]	[O] disappointed [A] it [S] bad [C] food quality
pizza was a little soggy . [A] [O] [S] [C]	[A] pizza [O] soggy [S] bad [C] food quality
pizza was a little soggy . [A] [O] [C] [S]	[A] pizza [O] soggy [C] food quality [S] bad
pizza was a little soggy . [A] [S] [O] [C]	[A] pizza [S] bad [O] soggy [C] food quality
pizza was a little soggy . [O] [A] [C] [S]	[O] soggy [A] pizza [C] food quality [S] bad
pizza was a little soggy . [O] [A] [S] [C]	[O] soggy [A] pizza [S] bad [C] food quality
ravioli was good . . . but i have to say that i found everything a bit overpriced . [A] [O] [S] [C]	[A] ravioli [O] good [S] good [C] food quality [SSEP] [A] it [O] overpriced [S] bad [C] food prices
ravioli was good . . . but i have to say that i found everything a bit overpriced . [A] [O] [C] [S]	[A] ravioli [O] good [C] food quality [S] good [SSEP] [A] it [O] overpriced [C] food prices [S] bad
ravioli was good . . . but i have to say that i found everything a bit overpriced . [A] [S] [O] [C]	[A] ravioli [S] good [O] good [C] food quality [SSEP] [A] it [S] bad [O] overpriced [C] food prices
ravioli was good . . . but i have to say that i found everything a bit overpriced . [O] [A] [C] [S]	[O] good [A] ravioli [C] food quality [S] good [SSEP] [O] overpriced [A] it [C] food prices [S] bad
ravioli was good . . . but i have to say that i found everything a bit overpriced . [O] [A] [S] [C]	[O] good [A] ravioli [S] good [C] food quality [SSEP] [O] overpriced [A] it [S] bad [C] food prices
not enough wines by the glass either . [A] [O] [S] [C]	[A] wines by the glass [O] not enough [S] bad [C] drinks style_options
not enough wines by the glass either . [A] [O] [C] [S]	[A] wines by the glass [O] not enough [C] drinks style_options [S] bad
not enough wines by the glass either . [A] [S] [O] [C]	[A] wines by the glass [S] bad [O] not enough [C] drinks style_options
not enough wines by the glass either . [O] [A] [C] [S]	[O] not enough [A] wines by the glass [C] drinks style_options [S] bad
not enough wines by the glass either . [O] [A] [S] [C]	[O] not enough [A] wines by the glass [S] bad [C] drinks style_options
service , however , was excellent . . . and i liked the setting / atmosphere a lot . [A] [O] [S] [C]	[A] service [O] excellent [S] good [C] service general [SSEP] [A] setting / atmosphere [O] liked [S] good [C] ambience general
service , however , was excellent . . . and i liked the setting / atmosphere a lot . [A] [O] [C] [S]	[A] service [O] excellent [C] service general [S] good [SSEP] [A] setting / atmosphere [O] liked [C] ambience general [S] good
service , however , was excellent . . . and i liked the setting / atmosphere a lot . [A] [S] [O] [C]	[A] service [S] good [O] excellent [C] service general [SSEP] [A] setting / atmosphere [S] good [O] liked [C] ambience general
service , however , was excellent . . . and i liked the setting / atmosphere a lot . [O] [A] [C] [S]	[O] excellent [A] service [C] service general [S] good [SSEP] [O] liked [A] setting / atmosphere [C] ambience general [S] good
service , however , was excellent . . . and i liked the setting / atmosphere a lot . [O] [A] [S] [C]	[O] excellent [A] service [S] good [C] service general [SSEP] [O] liked [A] setting / atmosphere [S] good [C] ambience general
food was just average . . . if they lowered the prices just a bit , it would be a bigger draw . [A] [O] [S] [C]	[A] food [O] average [S] ok [C] food quality [SSEP] [A] it [O] null [S] bad [C] restaurant prices
food was just average . . . if they lowered the prices just a bit , it would be a bigger draw . [A] [O] [C] [S]	[A] food [O] average [C] food quality [S] ok [SSEP] [A] it [O] null [C] restaurant prices [S] bad
food was just average . . . if they lowered the prices just a bit , it would be a bigger draw . [A] [S] [O] [C]	[A] food [S] ok [O] average [C] food quality [SSEP] [A] it [S] bad [O] null [C] restaurant prices
food was just average . . . if they lowered the prices just a bit , it would be a bigger draw . [O] [A] [C] [S]	[O] average [A] food [C] food quality [S] ok [SSEP] [O] null [A] it [C] restaurant prices [S] bad
food was just average . . . if they lowered the prices just a bit , it would be a bigger draw . [O] [A] [S] [C]	[O] average [A] food [S] ok [C] food quality [SSEP] [O] null [A] it [S] bad [C] restaurant prices
authentic pakistani food . [A] [O] [S] [C]	[A] pakistani food [O] authentic [S] good [C] food quality
authentic pakistani food . [A] [O] [C] [S]	[A] pakistani food [O] authentic [C] food quality [S] good
authentic pakistani food . [A] [S] [O] [C]	[A] pakistani food [S] good [O] authentic [C] food quality
authentic pakistani food . [O] [A] [C] [S]	[O] authentic [A] pakistani food [C] food quality [S] good
authentic pakistani food . [O] [A] [S] [C]	[O] authentic [A] pakistani food [S] good [C] food quality
just straight up cheap , good food . [A] [O] [S] [C]	[A] food [O] good [S] good [C] food quality [SSEP] [A] food [O] cheap [S] good [C] food prices
just straight up cheap , good food . [A] [O] [C] [S]	[A] food [O] good [C] food quality [S] good [SSEP] [A] food [O] cheap [C] food prices [S] good
just straight up cheap , good food . [A] [S] [O] [C]	[A] food [S] good [O] good [C] food quality [SSEP] [A] food [S] good [O] cheap [C] food prices
just straight up cheap , good food . [O] [A] [C] [S]	[O] good [A] food [C] food quality [S] good [SSEP] [O] cheap [A] food [C] food prices [S] good
just straight up cheap , good food . [O] [A] [S] [C]	[O] good [A] food [S] good [C] food quality [SSEP] [O] cheap [A] food [S] good [C] food prices
faan is sooo good . [A] [O] [S] [C]	[A] faan [O] good [S] good [C] restaurant general
faan is sooo good . [A] [O] [C] [S]	[A] faan [O] good [C] restaurant general [S] good
faan is sooo good . [A] [S] [O] [C]	[A] faan [S] good [O] good [C] restaurant general
faan is sooo good . [O] [A] [C] [S]	[O] good [A] faan [C] restaurant general [S] good
faan is sooo good . [O] [A] [S] [C]	[O] good [A] faan [S] good [C] restaurant general
the design and atmosphere is just as good . [A] [O] [S] [C]	[A] design [O] good [S] good [C] ambience general [SSEP] [A] atmosphere [O] good [S] good [C] ambience general
the design and atmosphere is just as good . [A] [O] [C] [S]	[A] design [O] good [C] ambience general [S] good [SSEP] [A] atmosphere [O] good [C] ambience general [S] good
the design and atmosphere is just as good . [A] [S] [O] [C]	[A] design [S] good [O] good [C] ambience general [SSEP] [A] atmosphere [S] good [O] good [C] ambience general
the design and atmosphere is just as good . [O] [A] [C] [S]	[O] good [A] design [C] ambience general [S] good [SSEP] [O] good [A] atmosphere [C] ambience general [S] good
the design and atmosphere is just as good . [O] [A] [S] [C]	[O] good [A] design [S] good [C] ambience general [SSEP] [O] good [A] atmosphere [S] good [C] ambience general
bottles of wine are cheap and good . [A] [O] [S] [C]	[A] bottles of wine [O] cheap [S] good [C] drinks prices [SSEP] [A] bottles of wine [O] good [S] good [C] drinks quality
bottles of wine are cheap and good . [A] [O] [C] [S]	[A] bottles of wine [O] cheap [C] drinks prices [S] good [SSEP] [A] bottles of wine [O] good [C] drinks quality [S] good
bottles of wine are cheap and good . [A] [S] [O] [C]	[A] bottles of wine [S] good [O] cheap [C] drinks prices [SSEP] [A] bottles of wine [S] good [O] good [C] drinks quality
bottles of wine are cheap and good . [O] [A] [C] [S]	[O] cheap [A] bottles of wine [C] drinks prices [S] good [SSEP] [O] good [A] bottles of wine [C] drinks quality [S] good
bottles of wine are cheap and good . [O] [A] [S] [C]	[O] cheap [A] bottles of wine [S] good [C] drinks prices [SSEP] [O] good [A] bottles of wine [S] good [C] drinks quality
what more could you want ? [A] [O] [S] [C]	[A] it [O] null [S] good [C] restaurant general
what more could you want ? [A] [O] [C] [S]	[A] it [O] null [C] restaurant general [S] good
what more could you want ? [A] [S] [O] [C]	[A] it [S] good [O] null [C] restaurant general
what more could you want ? [O] [A] [C] [S]	[O] null [A] it [C] restaurant general [S] good
what more could you want ? [O] [A] [S] [C]	[O] null [A] it [S] good [C] restaurant general
the food was actually aweful . [A] [O] [S] [C]	[A] food [O] aweful [S] bad [C] food quality
the food was actually aweful . [A] [O] [C] [S]	[A] food [O] aweful [C] food quality [S] bad
the food was actually aweful . [A] [S] [O] [C]	[A] food [S] bad [O] aweful [C] food quality
the food was actually aweful . [O] [A] [C] [S]	[O] aweful [A] food [C] food quality [S] bad
the food was actually aweful . [O] [A] [S] [C]	[O] aweful [A] food [S] bad [C] food quality
i ' m not picky - but it was actually gross . [A] [O] [S] [C]	[A] it [O] gross [S] bad [C] food quality
i ' m not picky - but it was actually gross . [A] [O] [C] [S]	[A] it [O] gross [C] food quality [S] bad
i ' m not picky - but it was actually gross . [A] [S] [O] [C]	[A] it [S] bad [O] gross [C] food quality
i ' m not picky - but it was actually gross . [O] [A] [C] [S]	[O] gross [A] it [C] food quality [S] bad
i ' m not picky - but it was actually gross . [O] [A] [S] [C]	[O] gross [A] it [S] bad [C] food quality
the mussles were the fishiest things i ' ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . it was disgusting . [A] [O] [S] [C]	[A] mussles [O] fishiest [S] bad [C] food quality [SSEP] [A] seabass [O] bland [S] bad [C] food quality [SSEP] [A] goat cheese salad [O] missing [S] bad [C] food quality [SSEP] [A] penne w / chicken [O] disgusting [S] bad [C] food quality [SSEP] [A] it [O] disgusting [S] bad [C] food quality
the mussles were the fishiest things i ' ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . it was disgusting . [A] [O] [C] [S]	[A] mussles [O] fishiest [C] food quality [S] bad [SSEP] [A] seabass [O] bland [C] food quality [S] bad [SSEP] [A] goat cheese salad [O] missing [C] food quality [S] bad [SSEP] [A] penne w / chicken [O] disgusting [C] food quality [S] bad [SSEP] [A] it [O] disgusting [C] food quality [S] bad
the mussles were the fishiest things i ' ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . it was disgusting . [A] [S] [O] [C]	[A] mussles [S] bad [O] fishiest [C] food quality [SSEP] [A] seabass [S] bad [O] bland [C] food quality [SSEP] [A] goat cheese salad [S] bad [O] missing [C] food quality [SSEP] [A] penne w / chicken [S] bad [O] disgusting [C] food quality [SSEP] [A] it [S] bad [O] disgusting [C] food quality
the mussles were the fishiest things i ' ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . it was disgusting . [O] [A] [C] [S]	[O] fishiest [A] mussles [C] food quality [S] bad [SSEP] [O] bland [A] seabass [C] food quality [S] bad [SSEP] [O] missing [A] goat cheese salad [C] food quality [S] bad [SSEP] [O] disgusting [A] penne w / chicken [C] food quality [S] bad [SSEP] [O] disgusting [A] it [C] food quality [S] bad
the mussles were the fishiest things i ' ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . it was disgusting . [O] [A] [S] [C]	[O] fishiest [A] mussles [S] bad [C] food quality [SSEP] [O] bland [A] seabass [S] bad [C] food quality [SSEP] [O] missing [A] goat cheese salad [S] bad [C] food quality [SSEP] [O] disgusting [A] penne w / chicken [S] bad [C] food quality [SSEP] [O] disgusting [A] it [S] bad [C] food quality
nice atmosphere , the service was very pleasant and the desert was good . [A] [O] [S] [C]	[A] atmosphere [O] nice [S] good [C] ambience general [SSEP] [A] service [O] pleasant [S] good [C] service general [SSEP] [A] desert [O] good [S] good [C] food quality
nice atmosphere , the service was very pleasant and the desert was good . [A] [O] [C] [S]	[A] atmosphere [O] nice [C] ambience general [S] good [SSEP] [A] service [O] pleasant [C] service general [S] good [SSEP] [A] desert [O] good [C] food quality [S] good
nice atmosphere , the service was very pleasant and the desert was good . [A] [S] [O] [C]	[A] atmosphere [S] good [O] nice [C] ambience general [SSEP] [A] service [S] good [O] pleasant [C] service general [SSEP] [A] desert [S] good [O] good [C] food quality
nice atmosphere , the service was very pleasant and the desert was good . [O] [A] [C] [S]	[O] nice [A] atmosphere [C] ambience general [S] good [SSEP] [O] pleasant [A] service [C] service general [S] good [SSEP] [O] good [A] desert [C] food quality [S] good
nice atmosphere , the service was very pleasant and the desert was good . [O] [A] [S] [C]	[O] nice [A] atmosphere [S] good [C] ambience general [SSEP] [O] pleasant [A] service [S] good [C] service general [SSEP] [O] good [A] desert [S] good [C] food quality
this is the perfect date spot for williamsburg couples . [A] [O] [S] [C]	[A] it [O] perfect [S] good [C] restaurant miscellaneous
this is the perfect date spot for williamsburg couples . [A] [O] [C] [S]	[A] it [O] perfect [C] restaurant miscellaneous [S] good
this is the perfect date spot for williamsburg couples . [A] [S] [O] [C]	[A] it [S] good [O] perfect [C] restaurant miscellaneous
this is the perfect date spot for williamsburg couples . [O] [A] [C] [S]	[O] perfect [A] it [C] restaurant miscellaneous [S] good
this is the perfect date spot for williamsburg couples . [O] [A] [S] [C]	[O] perfect [A] it [S] good [C] restaurant miscellaneous
the jukebox plays everything from italian opera to the strokes . [A] [O] [S] [C]	[A] jukebox [O] null [S] good [C] ambience general
the jukebox plays everything from italian opera to the strokes . [A] [O] [C] [S]	[A] jukebox [O] null [C] ambience general [S] good
the jukebox plays everything from italian opera to the strokes . [A] [S] [O] [C]	[A] jukebox [S] good [O] null [C] ambience general
the jukebox plays everything from italian opera to the strokes . [O] [A] [C] [S]	[O] null [A] jukebox [C] ambience general [S] good
the jukebox plays everything from italian opera to the strokes . [O] [A] [S] [C]	[O] null [A] jukebox [S] good [C] ambience general
the food is amazing , rich pastas and fresh doughy pizza . [A] [O] [S] [C]	[A] food [O] amazing [S] good [C] food quality [SSEP] [A] pastas [O] rich [S] good [C] food style_options [SSEP] [A] pizza [O] fresh [S] good [C] food quality [SSEP] [A] pizza [O] doughy [S] good [C] food quality
the food is amazing , rich pastas and fresh doughy pizza . [A] [O] [C] [S]	[A] food [O] amazing [C] food quality [S] good [SSEP] [A] pastas [O] rich [C] food style_options [S] good [SSEP] [A] pizza [O] fresh [C] food quality [S] good [SSEP] [A] pizza [O] doughy [C] food quality [S] good
the food is amazing , rich pastas and fresh doughy pizza . [A] [S] [O] [C]	[A] food [S] good [O] amazing [C] food quality [SSEP] [A] pastas [S] good [O] rich [C] food style_options [SSEP] [A] pizza [S] good [O] fresh [C] food quality [SSEP] [A] pizza [S] good [O] doughy [C] food quality
the food is amazing , rich pastas and fresh doughy pizza . [O] [A] [C] [S]	[O] amazing [A] food [C] food quality [S] good [SSEP] [O] rich [A] pastas [C] food style_options [S] good [SSEP] [O] fresh [A] pizza [C] food quality [S] good [SSEP] [O] doughy [A] pizza [C] food quality [S] good
the food is amazing , rich pastas and fresh doughy pizza . [O] [A] [S] [C]	[O] amazing [A] food [S] good [C] food quality [SSEP] [O] rich [A] pastas [S] good [C] food style_options [SSEP] [O] fresh [A] pizza [S] good [C] food quality [SSEP] [O] doughy [A] pizza [S] good [C] food quality
best of all is the warm vibe , the owner is super friendly and service is fast . [A] [O] [S] [C]	[A] vibe [O] warm [S] good [C] ambience general [SSEP] [A] owner [O] friendly [S] good [C] service general [SSEP] [A] service [O] fast [S] good [C] service general
best of all is the warm vibe , the owner is super friendly and service is fast . [A] [O] [C] [S]	[A] vibe [O] warm [C] ambience general [S] good [SSEP] [A] owner [O] friendly [C] service general [S] good [SSEP] [A] service [O] fast [C] service general [S] good
best of all is the warm vibe , the owner is super friendly and service is fast . [A] [S] [O] [C]	[A] vibe [S] good [O] warm [C] ambience general [SSEP] [A] owner [S] good [O] friendly [C] service general [SSEP] [A] service [S] good [O] fast [C] service general
best of all is the warm vibe , the owner is super friendly and service is fast . [O] [A] [C] [S]	[O] warm [A] vibe [C] ambience general [S] good [SSEP] [O] friendly [A] owner [C] service general [S] good [SSEP] [O] fast [A] service [C] service general [S] good
best of all is the warm vibe , the owner is super friendly and service is fast . [O] [A] [S] [C]	[O] warm [A] vibe [S] good [C] ambience general [SSEP] [O] friendly [A] owner [S] good [C] service general [SSEP] [O] fast [A] service [S] good [C] service general
if only they delivered , they ' d make a mint ! [A] [O] [S] [C]	[A] it [O] null [S] ok [C] restaurant miscellaneous
if only they delivered , they ' d make a mint ! [A] [O] [C] [S]	[A] it [O] null [C] restaurant miscellaneous [S] ok
if only they delivered , they ' d make a mint ! [A] [S] [O] [C]	[A] it [S] ok [O] null [C] restaurant miscellaneous
if only they delivered , they ' d make a mint ! [O] [A] [C] [S]	[O] null [A] it [C] restaurant miscellaneous [S] ok
if only they delivered , they ' d make a mint ! [O] [A] [S] [C]	[O] null [A] it [S] ok [C] restaurant miscellaneous
go here for the drinks ! [A] [O] [S] [C]	[A] drinks [O] null [S] good [C] drinks quality
go here for the drinks ! [A] [O] [C] [S]	[A] drinks [O] null [C] drinks quality [S] good
go here for the drinks ! [A] [S] [O] [C]	[A] drinks [S] good [O] null [C] drinks quality
go here for the drinks ! [O] [A] [C] [S]	[O] null [A] drinks [C] drinks quality [S] good
go here for the drinks ! [O] [A] [S] [C]	[O] null [A] drinks [S] good [C] drinks quality
the drinks are amazing and half off till 8pm . [A] [O] [S] [C]	[A] drinks [O] amazing [S] good [C] drinks quality [SSEP] [A] drinks [O] amazing [S] good [C] drinks prices
the drinks are amazing and half off till 8pm . [A] [O] [C] [S]	[A] drinks [O] amazing [C] drinks quality [S] good [SSEP] [A] drinks [O] amazing [C] drinks prices [S] good
the drinks are amazing and half off till 8pm . [A] [S] [O] [C]	[A] drinks [S] good [O] amazing [C] drinks quality [SSEP] [A] drinks [S] good [O] amazing [C] drinks prices
the drinks are amazing and half off till 8pm . [O] [A] [C] [S]	[O] amazing [A] drinks [C] drinks quality [S] good [SSEP] [O] amazing [A] drinks [C] drinks prices [S] good
the drinks are amazing and half off till 8pm . [O] [A] [S] [C]	[O] amazing [A] drinks [S] good [C] drinks quality [SSEP] [O] amazing [A] drinks [S] good [C] drinks prices
my fav was the sassy lassi . . . [A] [O] [S] [C]	[A] sassy lassi [O] fav [S] good [C] drinks quality
my fav was the sassy lassi . . . [A] [O] [C] [S]	[A] sassy lassi [O] fav [C] drinks quality [S] good
my fav was the sassy lassi . . . [A] [S] [O] [C]	[A] sassy lassi [S] good [O] fav [C] drinks quality
my fav was the sassy lassi . . . [O] [A] [C] [S]	[O] fav [A] sassy lassi [C] drinks quality [S] good
my fav was the sassy lassi . . . [O] [A] [S] [C]	[O] fav [A] sassy lassi [S] good [C] drinks quality
this is an amazing place to try some roti rolls . [A] [O] [S] [C]	[A] roti rolls [O] try [S] good [C] food quality
this is an amazing place to try some roti rolls . [A] [O] [C] [S]	[A] roti rolls [O] try [C] food quality [S] good
this is an amazing place to try some roti rolls . [A] [S] [O] [C]	[A] roti rolls [S] good [O] try [C] food quality
this is an amazing place to try some roti rolls . [O] [A] [C] [S]	[O] try [A] roti rolls [C] food quality [S] good
this is an amazing place to try some roti rolls . [O] [A] [S] [C]	[O] try [A] roti rolls [S] good [C] food quality
i really recommend the very simple unda ( egg ) rolls . [A] [O] [S] [C]	[A] unda ( egg ) rolls [O] recommend [S] good [C] food quality [SSEP] [A] unda ( egg ) rolls [O] simple [S] good [C] food quality
i really recommend the very simple unda ( egg ) rolls . [A] [O] [C] [S]	[A] unda ( egg ) rolls [O] recommend [C] food quality [S] good [SSEP] [A] unda ( egg ) rolls [O] simple [C] food quality [S] good
