judging from previous posts this used to be a good place , but not any longer . [A] [O] [S]	[A] place [O] good [S] bad
if you go , try the marinara/arrabiatta sauce , the mozzarella en carozza is mmmmmmmm ... .. everything is just delicious . [O] [S] [A]	[O] try [S] good [A] marinara/arrabiatta sauce [SSEP] [O] delicious [S] good [A] marinara/arrabiatta sauce [SSEP] [O] delicious [S] good [A] mozzarella en carozza
if you go , try the marinara/arrabiatta sauce , the mozzarella en carozza is mmmmmmmm ... .. everything is just delicious . [A] [S] [O]	[A] marinara/arrabiatta sauce [S] good [O] try [SSEP] [A] marinara/arrabiatta sauce [S] good [O] delicious [SSEP] [A] mozzarella en carozza [S] good [O] delicious
if you go , try the marinara/arrabiatta sauce , the mozzarella en carozza is mmmmmmmm ... .. everything is just delicious . [S] [O] [A]	[S] good [O] try [A] marinara/arrabiatta sauce [SSEP] [S] good [O] delicious [A] marinara/arrabiatta sauce [SSEP] [S] good [O] delicious [A] mozzarella en carozza
check out the secret back room . [A] [O] [S]	[A] back room [O] secret [S] good
check out the secret back room . [O] [A] [S]	[O] secret [A] back room [S] good
check out the secret back room . [O] [S] [A]	[O] secret [S] good [A] back room
check out the secret back room . [A] [S] [O]	[A] back room [S] good [O] secret
check out the secret back room . [S] [O] [A]	[S] good [O] secret [A] back room
the food was authentic . [A] [O] [S]	[A] food [O] authentic [S] good
the food was authentic . [O] [A] [S]	[O] authentic [A] food [S] good
the food was authentic . [O] [S] [A]	[O] authentic [S] good [A] food
the food was authentic . [A] [S] [O]	[A] food [S] good [O] authentic
the food was authentic . [S] [O] [A]	[S] good [O] authentic [A] food
who has room for cheesesticks with the best pizza in nyc ! [A] [O] [S]	[A] pizza [O] best [S] good
who has room for cheesesticks with the best pizza in nyc ! [O] [A] [S]	[O] best [A] pizza [S] good
who has room for cheesesticks with the best pizza in nyc ! [O] [S] [A]	[O] best [S] good [A] pizza
who has room for cheesesticks with the best pizza in nyc ! [A] [S] [O]	[A] pizza [S] good [O] best
who has room for cheesesticks with the best pizza in nyc ! [S] [O] [A]	[S] good [O] best [A] pizza
always great service ! [A] [O] [S]	[A] service [O] great [S] good
always great service ! [O] [A] [S]	[O] great [A] service [S] good
always great service ! [O] [S] [A]	[O] great [S] good [A] service
always great service ! [A] [S] [O]	[A] service [S] good [O] great
always great service ! [S] [O] [A]	[S] good [O] great [A] service
the food is good , i ca n't lie . [A] [O] [S]	[A] food [O] good [S] good
the food is good , i ca n't lie . [O] [A] [S]	[O] good [A] food [S] good
the food is good , i ca n't lie . [O] [S] [A]	[O] good [S] good [A] food
the food is good , i ca n't lie . [A] [S] [O]	[A] food [S] good [O] good
the food is good , i ca n't lie . [S] [O] [A]	[S] good [O] good [A] food
the hostess and the waitress were incredibly rude and did everything they could to rush us out . [A] [O] [S]	[A] hostess [O] rude [S] bad [SSEP] [A] waitress [O] rude [S] bad
the hostess and the waitress were incredibly rude and did everything they could to rush us out . [O] [A] [S]	[O] rude [A] hostess [S] bad [SSEP] [O] rude [A] waitress [S] bad
the hostess and the waitress were incredibly rude and did everything they could to rush us out . [O] [S] [A]	[O] rude [S] bad [A] hostess [SSEP] [O] rude [S] bad [A] waitress
the hostess and the waitress were incredibly rude and did everything they could to rush us out . [A] [S] [O]	[A] hostess [S] bad [O] rude [SSEP] [A] waitress [S] bad [O] rude
the hostess and the waitress were incredibly rude and did everything they could to rush us out . [S] [O] [A]	[S] bad [O] rude [A] hostess [SSEP] [S] bad [O] rude [A] waitress
amma is nothing special . [A] [O] [S]	[A] amma [O] nothing special [S] ok
amma is nothing special . [O] [A] [S]	[O] nothing special [A] amma [S] ok
amma is nothing special . [O] [S] [A]	[O] nothing special [S] ok [A] amma
amma is nothing special . [A] [S] [O]	[A] amma [S] ok [O] nothing special
amma is nothing special . [S] [O] [A]	[S] ok [O] nothing special [A] amma
i ate here a week ago and found most dishes average at best and too expensive . [A] [O] [S]	[A] dishes [O] average [S] bad [SSEP] [A] dishes [O] too expensive [S] bad
i ate here a week ago and found most dishes average at best and too expensive . [O] [A] [S]	[O] average [A] dishes [S] bad [SSEP] [O] too expensive [A] dishes [S] bad
i ate here a week ago and found most dishes average at best and too expensive . [O] [S] [A]	[O] average [S] bad [A] dishes [SSEP] [O] too expensive [S] bad [A] dishes
i ate here a week ago and found most dishes average at best and too expensive . [A] [S] [O]	[A] dishes [S] bad [O] average [SSEP] [A] dishes [S] bad [O] too expensive
i ate here a week ago and found most dishes average at best and too expensive . [S] [O] [A]	[S] bad [O] average [A] dishes [SSEP] [S] bad [O] too expensive [A] dishes
this place is always packed . [A] [O] [S]	[A] place [O] packed [S] ok
this place is always packed . [O] [A] [S]	[O] packed [A] place [S] ok
this place is always packed . [O] [S] [A]	[O] packed [S] ok [A] place
this place is always packed . [A] [S] [O]	[A] place [S] ok [O] packed
this place is always packed . [S] [O] [A]	[S] ok [O] packed [A] place
most importantly , food is excellent . [A] [O] [S]	[A] food [O] excellent [S] good
most importantly , food is excellent . [O] [A] [S]	[O] excellent [A] food [S] good
most importantly , food is excellent . [O] [S] [A]	[O] excellent [S] good [A] food
most importantly , food is excellent . [A] [S] [O]	[A] food [S] good [O] excellent
most importantly , food is excellent . [S] [O] [A]	[S] good [O] excellent [A] food
and yes dal bukhara is so dam good and so are all the kababs . [A] [O] [S]	[A] kababs [O] good [S] good [SSEP] [A] dal bukhara [O] good [S] good
and yes dal bukhara is so dam good and so are all the kababs . [O] [A] [S]	[O] good [A] kababs [S] good [SSEP] [O] good [A] dal bukhara [S] good
and yes dal bukhara is so dam good and so are all the kababs . [O] [S] [A]	[O] good [S] good [A] kababs [SSEP] [O] good [S] good [A] dal bukhara
and yes dal bukhara is so dam good and so are all the kababs . [A] [S] [O]	[A] kababs [S] good [O] good [SSEP] [A] dal bukhara [S] good [O] good
and yes dal bukhara is so dam good and so are all the kababs . [S] [O] [A]	[S] good [O] good [A] kababs [SSEP] [S] good [O] good [A] dal bukhara
haru on park s is simply disgusting . [A] [O] [S]	[A] haru on park s [O] disgusting [S] bad
haru on park s is simply disgusting . [O] [A] [S]	[O] disgusting [A] haru on park s [S] bad
haru on park s is simply disgusting . [O] [S] [A]	[O] disgusting [S] bad [A] haru on park s
haru on park s is simply disgusting . [A] [S] [O]	[A] haru on park s [S] bad [O] disgusting
haru on park s is simply disgusting . [S] [O] [A]	[S] bad [O] disgusting [A] haru on park s
the fish was not fresh and the rice tasted old and stale . [A] [O] [S]	[A] fish [O] not fresh [S] bad [SSEP] [A] rice [O] old [S] bad [SSEP] [A] rice [O] stale [S] bad
the fish was not fresh and the rice tasted old and stale . [O] [A] [S]	[O] not fresh [A] fish [S] bad [SSEP] [O] old [A] rice [S] bad [SSEP] [O] stale [A] rice [S] bad
the fish was not fresh and the rice tasted old and stale . [O] [S] [A]	[O] not fresh [S] bad [A] fish [SSEP] [O] old [S] bad [A] rice [SSEP] [O] stale [S] bad [A] rice
the fish was not fresh and the rice tasted old and stale . [A] [S] [O]	[A] fish [S] bad [O] not fresh [SSEP] [A] rice [S] bad [O] old [SSEP] [A] rice [S] bad [O] stale
the fish was not fresh and the rice tasted old and stale . [S] [O] [A]	[S] bad [O] not fresh [A] fish [SSEP] [S] bad [O] old [A] rice [SSEP] [S] bad [O] stale [A] rice
quite frankly , this is some of the worst sushi i have ever tried . [A] [O] [S]	[A] sushi [O] worst [S] bad
quite frankly , this is some of the worst sushi i have ever tried . [O] [A] [S]	[O] worst [A] sushi [S] bad
quite frankly , this is some of the worst sushi i have ever tried . [O] [S] [A]	[O] worst [S] bad [A] sushi
quite frankly , this is some of the worst sushi i have ever tried . [A] [S] [O]	[A] sushi [S] bad [O] worst
quite frankly , this is some of the worst sushi i have ever tried . [S] [O] [A]	[S] bad [O] worst [A] sushi
honestly the worst sushi my husband and i had in our entire lives . [A] [O] [S]	[A] sushi [O] worst [S] bad
honestly the worst sushi my husband and i had in our entire lives . [O] [A] [S]	[O] worst [A] sushi [S] bad
honestly the worst sushi my husband and i had in our entire lives . [O] [S] [A]	[O] worst [S] bad [A] sushi
honestly the worst sushi my husband and i had in our entire lives . [A] [S] [O]	[A] sushi [S] bad [O] worst
honestly the worst sushi my husband and i had in our entire lives . [S] [O] [A]	[S] bad [O] worst [A] sushi
not sure why this restaurant would be rated that highly . [A] [O] [S]	[A] restaurant [O] highly [S] bad
not sure why this restaurant would be rated that highly . [O] [A] [S]	[O] highly [A] restaurant [S] bad
not sure why this restaurant would be rated that highly . [O] [S] [A]	[O] highly [S] bad [A] restaurant
not sure why this restaurant would be rated that highly . [A] [S] [O]	[A] restaurant [S] bad [O] highly
not sure why this restaurant would be rated that highly . [S] [O] [A]	[S] bad [O] highly [A] restaurant
the all-u-can-eat sushi is definitely in very poor quality . [A] [O] [S]	[A] all-u-can-eat sushi [O] poor quality [S] bad
the all-u-can-eat sushi is definitely in very poor quality . [O] [A] [S]	[O] poor quality [A] all-u-can-eat sushi [S] bad
the all-u-can-eat sushi is definitely in very poor quality . [O] [S] [A]	[O] poor quality [S] bad [A] all-u-can-eat sushi
the all-u-can-eat sushi is definitely in very poor quality . [A] [S] [O]	[A] all-u-can-eat sushi [S] bad [O] poor quality
the all-u-can-eat sushi is definitely in very poor quality . [S] [O] [A]	[S] bad [O] poor quality [A] all-u-can-eat sushi
the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish . [A] [O] [S]	[A] soy sauce [O] salty [S] bad [SSEP] [A] rice [O] vinegar-soaked [S] bad
the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish . [O] [A] [S]	[O] salty [A] soy sauce [S] bad [SSEP] [O] vinegar-soaked [A] rice [S] bad
the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish . [O] [S] [A]	[O] salty [S] bad [A] soy sauce [SSEP] [O] vinegar-soaked [S] bad [A] rice
the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish . [A] [S] [O]	[A] soy sauce [S] bad [O] salty [SSEP] [A] rice [S] bad [O] vinegar-soaked
the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish . [S] [O] [A]	[S] bad [O] salty [A] soy sauce [SSEP] [S] bad [O] vinegar-soaked [A] rice
the waitstaffs are nice though . [A] [O] [S]	[A] waitstaffs [O] nice [S] good
the waitstaffs are nice though . [O] [A] [S]	[O] nice [A] waitstaffs [S] good
the waitstaffs are nice though . [O] [S] [A]	[O] nice [S] good [A] waitstaffs
the waitstaffs are nice though . [A] [S] [O]	[A] waitstaffs [S] good [O] nice
the waitstaffs are nice though . [S] [O] [A]	[S] good [O] nice [A] waitstaffs
i have been to roth 's twice and both times were very disappointing . [A] [O] [S]	[A] roth 's [O] disappointing [S] bad
i have been to roth 's twice and both times were very disappointing . [O] [A] [S]	[O] disappointing [A] roth 's [S] bad
i have been to roth 's twice and both times were very disappointing . [O] [S] [A]	[O] disappointing [S] bad [A] roth 's
i have been to roth 's twice and both times were very disappointing . [A] [S] [O]	[A] roth 's [S] bad [O] disappointing
i have been to roth 's twice and both times were very disappointing . [S] [O] [A]	[S] bad [O] disappointing [A] roth 's
both times i was extremely dissappointed by the service , which was boarderline rude . [A] [O] [S]	[A] service [O] dissappointed [S] bad [SSEP] [A] service [O] rude [S] bad
both times i was extremely dissappointed by the service , which was boarderline rude . [O] [A] [S]	[O] dissappointed [A] service [S] bad [SSEP] [O] rude [A] service [S] bad
both times i was extremely dissappointed by the service , which was boarderline rude . [O] [S] [A]	[O] dissappointed [S] bad [A] service [SSEP] [O] rude [S] bad [A] service
both times i was extremely dissappointed by the service , which was boarderline rude . [A] [S] [O]	[A] service [S] bad [O] dissappointed [SSEP] [A] service [S] bad [O] rude
both times i was extremely dissappointed by the service , which was boarderline rude . [S] [O] [A]	[S] bad [O] dissappointed [A] service [SSEP] [S] bad [O] rude [A] service
the dinner was ok , nothing i would have again . [A] [O] [S]	[A] dinner [O] ok [S] bad
the dinner was ok , nothing i would have again . [O] [A] [S]	[O] ok [A] dinner [S] bad
the dinner was ok , nothing i would have again . [O] [S] [A]	[O] ok [S] bad [A] dinner
the dinner was ok , nothing i would have again . [A] [S] [O]	[A] dinner [S] bad [O] ok
the dinner was ok , nothing i would have again . [S] [O] [A]	[S] bad [O] ok [A] dinner
i had their eggs benedict for brunch , which were the worst in my entire life , i tried removing the hollondaise sauce completely that was how failed it was . [A] [O] [S]	[A] eggs benedict [O] worst [S] bad
i had their eggs benedict for brunch , which were the worst in my entire life , i tried removing the hollondaise sauce completely that was how failed it was . [O] [A] [S]	[O] worst [A] eggs benedict [S] bad
i had their eggs benedict for brunch , which were the worst in my entire life , i tried removing the hollondaise sauce completely that was how failed it was . [O] [S] [A]	[O] worst [S] bad [A] eggs benedict
i had their eggs benedict for brunch , which were the worst in my entire life , i tried removing the hollondaise sauce completely that was how failed it was . [A] [S] [O]	[A] eggs benedict [S] bad [O] worst
i had their eggs benedict for brunch , which were the worst in my entire life , i tried removing the hollondaise sauce completely that was how failed it was . [S] [O] [A]	[S] bad [O] worst [A] eggs benedict
the service was attentive . [A] [O] [S]	[A] service [O] attentive [S] good
the service was attentive . [O] [A] [S]	[O] attentive [A] service [S] good
the service was attentive . [O] [S] [A]	[O] attentive [S] good [A] service
the service was attentive . [A] [S] [O]	[A] service [S] good [O] attentive
the service was attentive . [S] [O] [A]	[S] good [O] attentive [A] service
planet thai is great ! [A] [O] [S]	[A] planet thai [O] great [S] good
planet thai is great ! [O] [A] [S]	[O] great [A] planet thai [S] good
planet thai is great ! [O] [S] [A]	[O] great [S] good [A] planet thai
planet thai is great ! [A] [S] [O]	[A] planet thai [S] good [O] great
planet thai is great ! [S] [O] [A]	[S] good [O] great [A] planet thai
we love the food , drinks , and atmosphere ! [A] [O] [S]	[A] food [O] love [S] good [SSEP] [A] drinks [O] love [S] good [SSEP] [A] atmosphere [O] love [S] good
we love the food , drinks , and atmosphere ! [O] [A] [S]	[O] love [A] food [S] good [SSEP] [O] love [A] drinks [S] good [SSEP] [O] love [A] atmosphere [S] good
we love the food , drinks , and atmosphere ! [O] [S] [A]	[O] love [S] good [A] food [SSEP] [O] love [S] good [A] drinks [SSEP] [O] love [S] good [A] atmosphere
we love the food , drinks , and atmosphere ! [A] [S] [O]	[A] food [S] good [O] love [SSEP] [A] drinks [S] good [O] love [SSEP] [A] atmosphere [S] good [O] love
we love the food , drinks , and atmosphere ! [S] [O] [A]	[S] good [O] love [A] food [SSEP] [S] good [O] love [A] drinks [SSEP] [S] good [O] love [A] atmosphere
the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must ! [A] [O] [S]	[A] svc [O] rude [S] bad [SSEP] [A] restaurant [O] must [S] good
the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must ! [O] [A] [S]	[O] rude [A] svc [S] bad [SSEP] [O] must [A] restaurant [S] good
the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must ! [O] [S] [A]	[O] rude [S] bad [A] svc [SSEP] [O] must [S] good [A] restaurant
the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must ! [A] [S] [O]	[A] svc [S] bad [O] rude [SSEP] [A] restaurant [S] good [O] must
the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must ! [S] [O] [A]	[S] bad [O] rude [A] svc [SSEP] [S] good [O] must [A] restaurant
try the pad thai , it 's fabulous and their prices are so cheap ! [A] [O] [S]	[A] pad thai [O] try [S] good [SSEP] [A] pad thai [O] fabulous [S] good [SSEP] [A] pad thai [O] cheap [S] good
try the pad thai , it 's fabulous and their prices are so cheap ! [O] [A] [S]	[O] try [A] pad thai [S] good [SSEP] [O] fabulous [A] pad thai [S] good [SSEP] [O] cheap [A] pad thai [S] good
try the pad thai , it 's fabulous and their prices are so cheap ! [O] [S] [A]	[O] try [S] good [A] pad thai [SSEP] [O] fabulous [S] good [A] pad thai [SSEP] [O] cheap [S] good [A] pad thai
try the pad thai , it 's fabulous and their prices are so cheap ! [A] [S] [O]	[A] pad thai [S] good [O] try [SSEP] [A] pad thai [S] good [O] fabulous [SSEP] [A] pad thai [S] good [O] cheap
try the pad thai , it 's fabulous and their prices are so cheap ! [S] [O] [A]	[S] good [O] try [A] pad thai [SSEP] [S] good [O] fabulous [A] pad thai [SSEP] [S] good [O] cheap [A] pad thai
just because it 's cheap does not mean the portions are small or the food is nasty , it is great ! [A] [O] [S]	[A] portions [O] small [S] good [SSEP] [A] food [O] nasty [S] good
just because it 's cheap does not mean the portions are small or the food is nasty , it is great ! [O] [A] [S]	[O] small [A] portions [S] good [SSEP] [O] nasty [A] food [S] good
just because it 's cheap does not mean the portions are small or the food is nasty , it is great ! [O] [S] [A]	[O] small [S] good [A] portions [SSEP] [O] nasty [S] good [A] food
just because it 's cheap does not mean the portions are small or the food is nasty , it is great ! [A] [S] [O]	[A] portions [S] good [O] small [SSEP] [A] food [S] good [O] nasty
just because it 's cheap does not mean the portions are small or the food is nasty , it is great ! [S] [O] [A]	[S] good [O] small [A] portions [SSEP] [S] good [O] nasty [A] food
eating in , the atmosphere saves it , but at your desk , it 's a very disappointing experience . [A] [O] [S]	[A] atmosphere [O] saves [S] good
eating in , the atmosphere saves it , but at your desk , it 's a very disappointing experience . [O] [A] [S]	[O] saves [A] atmosphere [S] good
eating in , the atmosphere saves it , but at your desk , it 's a very disappointing experience . [O] [S] [A]	[O] saves [S] good [A] atmosphere
eating in , the atmosphere saves it , but at your desk , it 's a very disappointing experience . [A] [S] [O]	[A] atmosphere [S] good [O] saves
eating in , the atmosphere saves it , but at your desk , it 's a very disappointing experience . [S] [O] [A]	[S] good [O] saves [A] atmosphere
chennai garden is my favorite indian restaurant in the city . [A] [O] [S]	[A] chennai garden [O] favorite [S] good
chennai garden is my favorite indian restaurant in the city . [O] [A] [S]	[O] favorite [A] chennai garden [S] good
chennai garden is my favorite indian restaurant in the city . [O] [S] [A]	[O] favorite [S] good [A] chennai garden
chennai garden is my favorite indian restaurant in the city . [A] [S] [O]	[A] chennai garden [S] good [O] favorite
chennai garden is my favorite indian restaurant in the city . [S] [O] [A]	[S] good [O] favorite [A] chennai garden
they have authentic indian at amazin prices . [A] [O] [S]	[A] indian [O] authentic [S] good
they have authentic indian at amazin prices . [O] [A] [S]	[O] authentic [A] indian [S] good
they have authentic indian at amazin prices . [O] [S] [A]	[O] authentic [S] good [A] indian
they have authentic indian at amazin prices . [A] [S] [O]	[A] indian [S] good [O] authentic
they have authentic indian at amazin prices . [S] [O] [A]	[S] good [O] authentic [A] indian
it 's a rather cramped and busy restaurant and it closes early . [A] [O] [S]	[A] restaurant [O] cramped [S] bad [SSEP] [A] restaurant [O] busy [S] bad
it 's a rather cramped and busy restaurant and it closes early . [O] [A] [S]	[O] cramped [A] restaurant [S] bad [SSEP] [O] busy [A] restaurant [S] bad
it 's a rather cramped and busy restaurant and it closes early . [O] [S] [A]	[O] cramped [S] bad [A] restaurant [SSEP] [O] busy [S] bad [A] restaurant
it 's a rather cramped and busy restaurant and it closes early . [A] [S] [O]	[A] restaurant [S] bad [O] cramped [SSEP] [A] restaurant [S] bad [O] busy
it 's a rather cramped and busy restaurant and it closes early . [S] [O] [A]	[S] bad [O] cramped [A] restaurant [SSEP] [S] bad [O] busy [A] restaurant
patroon features a nice cigar bar and has great staff . [A] [O] [S]	[A] cigar bar [O] nice [S] good [SSEP] [A] staff [O] great [S] good
patroon features a nice cigar bar and has great staff . [O] [A] [S]	[O] nice [A] cigar bar [S] good [SSEP] [O] great [A] staff [S] good
patroon features a nice cigar bar and has great staff . [O] [S] [A]	[O] nice [S] good [A] cigar bar [SSEP] [O] great [S] good [A] staff
patroon features a nice cigar bar and has great staff . [A] [S] [O]	[A] cigar bar [S] good [O] nice [SSEP] [A] staff [S] good [O] great
patroon features a nice cigar bar and has great staff . [S] [O] [A]	[S] good [O] nice [A] cigar bar [SSEP] [S] good [O] great [A] staff
the food is tasty and portion sizes are appropriate . [A] [O] [S]	[A] food [O] tasty [S] good [SSEP] [A] portion sizes [O] appropriate [S] good
the food is tasty and portion sizes are appropriate . [O] [A] [S]	[O] tasty [A] food [S] good [SSEP] [O] appropriate [A] portion sizes [S] good
the food is tasty and portion sizes are appropriate . [O] [S] [A]	[O] tasty [S] good [A] food [SSEP] [O] appropriate [S] good [A] portion sizes
the food is tasty and portion sizes are appropriate . [A] [S] [O]	[A] food [S] good [O] tasty [SSEP] [A] portion sizes [S] good [O] appropriate
the food is tasty and portion sizes are appropriate . [S] [O] [A]	[S] good [O] tasty [A] food [SSEP] [S] good [O] appropriate [A] portion sizes
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates . [A] [O] [S]	[A] restaurant [O] nice [S] good
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates . [O] [A] [S]	[O] nice [A] restaurant [S] good
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates . [O] [S] [A]	[O] nice [S] good [A] restaurant
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates . [A] [S] [O]	[A] restaurant [S] good [O] nice
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates . [S] [O] [A]	[S] good [O] nice [A] restaurant
not a great place for family or general dining . [A] [O] [S]	[A] place [O] not a great [S] bad
not a great place for family or general dining . [O] [A] [S]	[O] not a great [A] place [S] bad
not a great place for family or general dining . [O] [S] [A]	[O] not a great [S] bad [A] place
not a great place for family or general dining . [A] [S] [O]	[A] place [S] bad [O] not a great
not a great place for family or general dining . [S] [O] [A]	[S] bad [O] not a great [A] place
love this place . [A] [O] [S]	[A] place [O] love [S] good
love this place . [O] [A] [S]	[O] love [A] place [S] good
love this place . [O] [S] [A]	[O] love [S] good [A] place
love this place . [A] [S] [O]	[A] place [S] good [O] love
love this place . [S] [O] [A]	[S] good [O] love [A] place
food is excellent . [A] [O] [S]	[A] food [O] excellent [S] good
food is excellent . [O] [A] [S]	[O] excellent [A] food [S] good
food is excellent . [O] [S] [A]	[O] excellent [S] good [A] food
food is excellent . [A] [S] [O]	[A] food [S] good [O] excellent
food is excellent . [S] [O] [A]	[S] good [O] excellent [A] food
fish is so very fresh . [A] [O] [S]	[A] fish [O] fresh [S] good
fish is so very fresh . [O] [A] [S]	[O] fresh [A] fish [S] good
fish is so very fresh . [O] [S] [A]	[O] fresh [S] good [A] fish
fish is so very fresh . [A] [S] [O]	[A] fish [S] good [O] fresh
fish is so very fresh . [S] [O] [A]	[S] good [O] fresh [A] fish
love yuka . [A] [O] [S]	[A] yuka [O] love [S] good
love yuka . [O] [A] [S]	[O] love [A] yuka [S] good
love yuka . [O] [S] [A]	[O] love [S] good [A] yuka
love yuka . [A] [S] [O]	[A] yuka [S] good [O] love
love yuka . [S] [O] [A]	[S] good [O] love [A] yuka
mermaid inn is an overall good restaurant with really good seafood . [A] [O] [S]	[A] seafood [O] good [S] good [SSEP] [A] mermaid inn [O] good [S] good
mermaid inn is an overall good restaurant with really good seafood . [O] [A] [S]	[O] good [A] seafood [S] good [SSEP] [O] good [A] mermaid inn [S] good
mermaid inn is an overall good restaurant with really good seafood . [O] [S] [A]	[O] good [S] good [A] seafood [SSEP] [O] good [S] good [A] mermaid inn
mermaid inn is an overall good restaurant with really good seafood . [A] [S] [O]	[A] seafood [S] good [O] good [SSEP] [A] mermaid inn [S] good [O] good
mermaid inn is an overall good restaurant with really good seafood . [S] [O] [A]	[S] good [O] good [A] seafood [SSEP] [S] good [O] good [A] mermaid inn
the menu is limited but almost all of the dishes are excellent . [A] [O] [S]	[A] menu [O] limited [S] bad [SSEP] [A] dishes [O] excellent [S] good
the menu is limited but almost all of the dishes are excellent . [O] [A] [S]	[O] limited [A] menu [S] bad [SSEP] [O] excellent [A] dishes [S] good
the menu is limited but almost all of the dishes are excellent . [O] [S] [A]	[O] limited [S] bad [A] menu [SSEP] [O] excellent [S] good [A] dishes
the menu is limited but almost all of the dishes are excellent . [A] [S] [O]	[A] menu [S] bad [O] limited [SSEP] [A] dishes [S] good [O] excellent
the menu is limited but almost all of the dishes are excellent . [S] [O] [A]	[S] bad [O] limited [A] menu [SSEP] [S] good [O] excellent [A] dishes
the lobster sandwich is good and the spaghetti with scallops and shrimp is great . [A] [O] [S]	[A] lobster sandwich [O] good [S] good [SSEP] [A] spaghetti with scallops and shrimp [O] great [S] good
the lobster sandwich is good and the spaghetti with scallops and shrimp is great . [O] [A] [S]	[O] good [A] lobster sandwich [S] good [SSEP] [O] great [A] spaghetti with scallops and shrimp [S] good
the lobster sandwich is good and the spaghetti with scallops and shrimp is great . [O] [S] [A]	[O] good [S] good [A] lobster sandwich [SSEP] [O] great [S] good [A] spaghetti with scallops and shrimp
the lobster sandwich is good and the spaghetti with scallops and shrimp is great . [A] [S] [O]	[A] lobster sandwich [S] good [O] good [SSEP] [A] spaghetti with scallops and shrimp [S] good [O] great
the lobster sandwich is good and the spaghetti with scallops and shrimp is great . [S] [O] [A]	[S] good [O] good [A] lobster sandwich [SSEP] [S] good [O] great [A] spaghetti with scallops and shrimp
the service is good and ambience is good for a date or group outing . [A] [O] [S]	[A] service [O] good [S] good [SSEP] [A] ambience [O] good [S] good
the service is good and ambience is good for a date or group outing . [O] [A] [S]	[O] good [A] service [S] good [SSEP] [O] good [A] ambience [S] good
the service is good and ambience is good for a date or group outing . [O] [S] [A]	[O] good [S] good [A] service [SSEP] [O] good [S] good [A] ambience
the service is good and ambience is good for a date or group outing . [A] [S] [O]	[A] service [S] good [O] good [SSEP] [A] ambience [S] good [O] good
the service is good and ambience is good for a date or group outing . [S] [O] [A]	[S] good [O] good [A] service [SSEP] [S] good [O] good [A] ambience
the only fallback on this restaurant is the prices . [A] [O] [S]	[A] restaurant [O] fallback [S] bad
the only fallback on this restaurant is the prices . [O] [A] [S]	[O] fallback [A] restaurant [S] bad
the only fallback on this restaurant is the prices . [O] [S] [A]	[O] fallback [S] bad [A] restaurant
the only fallback on this restaurant is the prices . [A] [S] [O]	[A] restaurant [S] bad [O] fallback
the only fallback on this restaurant is the prices . [S] [O] [A]	[S] bad [O] fallback [A] restaurant
even though its good seafood , the prices are too high . [A] [O] [S]	[A] seafood [O] good [S] good
even though its good seafood , the prices are too high . [O] [A] [S]	[O] good [A] seafood [S] good
even though its good seafood , the prices are too high . [O] [S] [A]	[O] good [S] good [A] seafood
even though its good seafood , the prices are too high . [A] [S] [O]	[A] seafood [S] good [O] good
even though its good seafood , the prices are too high . [S] [O] [A]	[S] good [O] good [A] seafood
truly the mark of an attentive waiter . [A] [O] [S]	[A] waiter [O] attentive [S] good
truly the mark of an attentive waiter . [O] [A] [S]	[O] attentive [A] waiter [S] good
truly the mark of an attentive waiter . [O] [S] [A]	[O] attentive [S] good [A] waiter
truly the mark of an attentive waiter . [A] [S] [O]	[A] waiter [S] good [O] attentive
truly the mark of an attentive waiter . [S] [O] [A]	[S] good [O] attentive [A] waiter
i highly recommend the restaurant based on our experience last night . [A] [O] [S]	[A] restaurant [O] recommend [S] good
i highly recommend the restaurant based on our experience last night . [O] [A] [S]	[O] recommend [A] restaurant [S] good
i highly recommend the restaurant based on our experience last night . [O] [S] [A]	[O] recommend [S] good [A] restaurant
i highly recommend the restaurant based on our experience last night . [A] [S] [O]	[A] restaurant [S] good [O] recommend
i highly recommend the restaurant based on our experience last night . [S] [O] [A]	[S] good [O] recommend [A] restaurant
we ate at this thai place following the reviews but very unhappy with the foods . [A] [O] [S]	[A] foods [O] unhappy [S] bad
we ate at this thai place following the reviews but very unhappy with the foods . [O] [A] [S]	[O] unhappy [A] foods [S] bad
