but the staff was so horrible to us . [O] [A] [S]	[O] horrible [A] staff [S] bad
they were such a rip-off ( $ 8.95 for four small meat patties in steamed buns ) and not worth trying . [O] [S] [A]	[O] rip-off [S] bad [A] meat patties in steamed buns [SSEP] [O] not worth trying [S] bad [A] meat patties in steamed buns
they were such a rip-off ( $ 8.95 for four small meat patties in steamed buns ) and not worth trying . [A] [O] [S]	[A] meat patties in steamed buns [O] rip-off [S] bad [SSEP] [A] meat patties in steamed buns [O] not worth trying [S] bad
they were such a rip-off ( $ 8.95 for four small meat patties in steamed buns ) and not worth trying . [A] [S] [O]	[A] meat patties in steamed buns [S] bad [O] rip-off [SSEP] [A] meat patties in steamed buns [S] bad [O] not worth trying
they were such a rip-off ( $ 8.95 for four small meat patties in steamed buns ) and not worth trying . [S] [O] [A]	[S] bad [O] rip-off [A] meat patties in steamed buns [SSEP] [S] bad [O] not worth trying [A] meat patties in steamed buns
all of the pizzas are terrific and the price is even better ! [O] [A] [S]	[O] terrific [A] pizzas [S] good [SSEP] [O] better [A] price [S] good
all of the pizzas are terrific and the price is even better ! [O] [S] [A]	[O] terrific [S] good [A] pizzas [SSEP] [O] better [S] good [A] price
all of the pizzas are terrific and the price is even better ! [A] [O] [S]	[A] pizzas [O] terrific [S] good [SSEP] [A] price [O] better [S] good
all of the pizzas are terrific and the price is even better ! [A] [S] [O]	[A] pizzas [S] good [O] terrific [SSEP] [A] price [S] good [O] better
all of the pizzas are terrific and the price is even better ! [S] [O] [A]	[S] good [O] terrific [A] pizzas [SSEP] [S] good [O] better [A] price
it is about food and ambiance , and imagine how dreadful it will be it we only had to listen to an idle engine . [O] [A] [S]	[O] dreadful [A] food [S] bad [SSEP] [O] dreadful [A] ambiance [S] bad
it is about food and ambiance , and imagine how dreadful it will be it we only had to listen to an idle engine . [O] [S] [A]	[O] dreadful [S] bad [A] food [SSEP] [O] dreadful [S] bad [A] ambiance
it is about food and ambiance , and imagine how dreadful it will be it we only had to listen to an idle engine . [A] [O] [S]	[A] food [O] dreadful [S] bad [SSEP] [A] ambiance [O] dreadful [S] bad
it is about food and ambiance , and imagine how dreadful it will be it we only had to listen to an idle engine . [A] [S] [O]	[A] food [S] bad [O] dreadful [SSEP] [A] ambiance [S] bad [O] dreadful
it is about food and ambiance , and imagine how dreadful it will be it we only had to listen to an idle engine . [S] [O] [A]	[S] bad [O] dreadful [A] food [SSEP] [S] bad [O] dreadful [A] ambiance
the food was good too . [O] [A] [S]	[O] good [A] food [S] good
the food was good too . [O] [S] [A]	[O] good [S] good [A] food
the food was good too . [A] [O] [S]	[A] food [O] good [S] good
the food was good too . [A] [S] [O]	[A] food [S] good [O] good
the food was good too . [S] [O] [A]	[S] good [O] good [A] food
admittedly , this is not the place for gigantic pieces of fish overflowing the plate ( and thank goodness , in my opinion ) but for simple , elegant sushi there is no better place in new york or anywhere in the us . [O] [A] [S]	[O] simple [A] sushi [S] good [SSEP] [O] elegant [A] sushi [S] good
admittedly , this is not the place for gigantic pieces of fish overflowing the plate ( and thank goodness , in my opinion ) but for simple , elegant sushi there is no better place in new york or anywhere in the us . [O] [S] [A]	[O] simple [S] good [A] sushi [SSEP] [O] elegant [S] good [A] sushi
admittedly , this is not the place for gigantic pieces of fish overflowing the plate ( and thank goodness , in my opinion ) but for simple , elegant sushi there is no better place in new york or anywhere in the us . [A] [O] [S]	[A] sushi [O] simple [S] good [SSEP] [A] sushi [O] elegant [S] good
admittedly , this is not the place for gigantic pieces of fish overflowing the plate ( and thank goodness , in my opinion ) but for simple , elegant sushi there is no better place in new york or anywhere in the us . [A] [S] [O]	[A] sushi [S] good [O] simple [SSEP] [A] sushi [S] good [O] elegant
admittedly , this is not the place for gigantic pieces of fish overflowing the plate ( and thank goodness , in my opinion ) but for simple , elegant sushi there is no better place in new york or anywhere in the us . [S] [O] [A]	[S] good [O] simple [A] sushi [SSEP] [S] good [O] elegant [A] sushi
the menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them . [O] [A] [S]	[O] wide [A] menu [S] good [SSEP] [O] wide [A] variety of dishes [S] good [SSEP] [O] interesting [A] seafood [S] good
the menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them . [O] [S] [A]	[O] wide [S] good [A] menu [SSEP] [O] wide [S] good [A] variety of dishes [SSEP] [O] interesting [S] good [A] seafood
the menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them . [A] [O] [S]	[A] menu [O] wide [S] good [SSEP] [A] variety of dishes [O] wide [S] good [SSEP] [A] seafood [O] interesting [S] good
the menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them . [A] [S] [O]	[A] menu [S] good [O] wide [SSEP] [A] variety of dishes [S] good [O] wide [SSEP] [A] seafood [S] good [O] interesting
the menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them . [S] [O] [A]	[S] good [O] wide [A] menu [SSEP] [S] good [O] wide [A] variety of dishes [SSEP] [S] good [O] interesting [A] seafood
the white bean brushetta to start was incredible and the pasta was phenomenal . [O] [A] [S]	[O] incredible [A] white bean brushetta [S] good [SSEP] [O] phenomenal [A] pasta [S] good
the white bean brushetta to start was incredible and the pasta was phenomenal . [O] [S] [A]	[O] incredible [S] good [A] white bean brushetta [SSEP] [O] phenomenal [S] good [A] pasta
the white bean brushetta to start was incredible and the pasta was phenomenal . [A] [O] [S]	[A] white bean brushetta [O] incredible [S] good [SSEP] [A] pasta [O] phenomenal [S] good
the white bean brushetta to start was incredible and the pasta was phenomenal . [A] [S] [O]	[A] white bean brushetta [S] good [O] incredible [SSEP] [A] pasta [S] good [O] phenomenal
the white bean brushetta to start was incredible and the pasta was phenomenal . [S] [O] [A]	[S] good [O] incredible [A] white bean brushetta [SSEP] [S] good [O] phenomenal [A] pasta
the rest of the menu is limited by everything is good eats . [O] [A] [S]	[O] good [A] eats [S] good
the rest of the menu is limited by everything is good eats . [O] [S] [A]	[O] good [S] good [A] eats
the rest of the menu is limited by everything is good eats . [A] [O] [S]	[A] eats [O] good [S] good
the rest of the menu is limited by everything is good eats . [A] [S] [O]	[A] eats [S] good [O] good
the rest of the menu is limited by everything is good eats . [S] [O] [A]	[S] good [O] good [A] eats
great food , great lay out and awesome service . [O] [A] [S]	[O] great [A] food [S] good [SSEP] [O] great [A] lay out [S] good [SSEP] [O] awesome [A] service [S] good
great food , great lay out and awesome service . [O] [S] [A]	[O] great [S] good [A] food [SSEP] [O] great [S] good [A] lay out [SSEP] [O] awesome [S] good [A] service
great food , great lay out and awesome service . [A] [O] [S]	[A] food [O] great [S] good [SSEP] [A] lay out [O] great [S] good [SSEP] [A] service [O] awesome [S] good
great food , great lay out and awesome service . [A] [S] [O]	[A] food [S] good [O] great [SSEP] [A] lay out [S] good [O] great [SSEP] [A] service [S] good [O] awesome
great food , great lay out and awesome service . [S] [O] [A]	[S] good [O] great [A] food [SSEP] [S] good [O] great [A] lay out [SSEP] [S] good [O] awesome [A] service
we walked in on a wednesday night and were seated promptly . [O] [A] [S]	[O] promptly [A] seated [S] good
we walked in on a wednesday night and were seated promptly . [O] [S] [A]	[O] promptly [S] good [A] seated
we walked in on a wednesday night and were seated promptly . [A] [O] [S]	[A] seated [O] promptly [S] good
we walked in on a wednesday night and were seated promptly . [A] [S] [O]	[A] seated [S] good [O] promptly
we walked in on a wednesday night and were seated promptly . [S] [O] [A]	[S] good [O] promptly [A] seated
the wait staff is very freindly , they make it feel like you 're eating in a freindly little european town . [O] [A] [S]	[O] freindly [A] wait staff [S] good
the wait staff is very freindly , they make it feel like you 're eating in a freindly little european town . [O] [S] [A]	[O] freindly [S] good [A] wait staff
the wait staff is very freindly , they make it feel like you 're eating in a freindly little european town . [A] [O] [S]	[A] wait staff [O] freindly [S] good
the wait staff is very freindly , they make it feel like you 're eating in a freindly little european town . [A] [S] [O]	[A] wait staff [S] good [O] freindly
the wait staff is very freindly , they make it feel like you 're eating in a freindly little european town . [S] [O] [A]	[S] good [O] freindly [A] wait staff
the waitstaff are all very busy , it 's not outstanding service , but i 've never been dealt with rudely . [O] [A] [S]	[O] busy [A] waitstaff [S] bad
the waitstaff are all very busy , it 's not outstanding service , but i 've never been dealt with rudely . [O] [S] [A]	[O] busy [S] bad [A] waitstaff
the waitstaff are all very busy , it 's not outstanding service , but i 've never been dealt with rudely . [A] [O] [S]	[A] waitstaff [O] busy [S] bad
the waitstaff are all very busy , it 's not outstanding service , but i 've never been dealt with rudely . [A] [S] [O]	[A] waitstaff [S] bad [O] busy
the waitstaff are all very busy , it 's not outstanding service , but i 've never been dealt with rudely . [S] [O] [A]	[S] bad [O] busy [A] waitstaff
the flavors are great , and the menu is extensive . [O] [A] [S]	[O] great [A] flavors [S] good [SSEP] [O] extensive [A] menu [S] good
the flavors are great , and the menu is extensive . [O] [S] [A]	[O] great [S] good [A] flavors [SSEP] [O] extensive [S] good [A] menu
the flavors are great , and the menu is extensive . [A] [O] [S]	[A] flavors [O] great [S] good [SSEP] [A] menu [O] extensive [S] good
the flavors are great , and the menu is extensive . [A] [S] [O]	[A] flavors [S] good [O] great [SSEP] [A] menu [S] good [O] extensive
the flavors are great , and the menu is extensive . [S] [O] [A]	[S] good [O] great [A] flavors [SSEP] [S] good [O] extensive [A] menu
the food has been consistant for years and it never lets you down . [O] [A] [S]	[O] consistant [A] food [S] good
the food has been consistant for years and it never lets you down . [O] [S] [A]	[O] consistant [S] good [A] food
the food has been consistant for years and it never lets you down . [A] [O] [S]	[A] food [O] consistant [S] good
the food has been consistant for years and it never lets you down . [A] [S] [O]	[A] food [S] good [O] consistant
the food has been consistant for years and it never lets you down . [S] [O] [A]	[S] good [O] consistant [A] food
and forget what you read under me , the atmosphere is n't that bad either . [O] [A] [S]	[O] is n't that bad [A] atmosphere [S] ok
and forget what you read under me , the atmosphere is n't that bad either . [O] [S] [A]	[O] is n't that bad [S] ok [A] atmosphere
and forget what you read under me , the atmosphere is n't that bad either . [A] [O] [S]	[A] atmosphere [O] is n't that bad [S] ok
and forget what you read under me , the atmosphere is n't that bad either . [A] [S] [O]	[A] atmosphere [S] ok [O] is n't that bad
and forget what you read under me , the atmosphere is n't that bad either . [S] [O] [A]	[S] ok [O] is n't that bad [A] atmosphere
we could n't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we 're taking too much time -- amazing , we just sat down . [O] [A] [S]	[O] interrupted [A] waitress [S] bad [SSEP] [O] interrupted [A] servants [S] bad
we could n't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we 're taking too much time -- amazing , we just sat down . [O] [S] [A]	[O] interrupted [S] bad [A] waitress [SSEP] [O] interrupted [S] bad [A] servants
we could n't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we 're taking too much time -- amazing , we just sat down . [A] [O] [S]	[A] waitress [O] interrupted [S] bad [SSEP] [A] servants [O] interrupted [S] bad
we could n't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we 're taking too much time -- amazing , we just sat down . [A] [S] [O]	[A] waitress [S] bad [O] interrupted [SSEP] [A] servants [S] bad [O] interrupted
we could n't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we 're taking too much time -- amazing , we just sat down . [S] [O] [A]	[S] bad [O] interrupted [A] waitress [SSEP] [S] bad [O] interrupted [A] servants
sometimes i get good food and ok service . [O] [A] [S]	[O] good [A] food [S] good [SSEP] [O] ok [A] service [S] ok
sometimes i get good food and ok service . [O] [S] [A]	[O] good [S] good [A] food [SSEP] [O] ok [S] ok [A] service
sometimes i get good food and ok service . [A] [O] [S]	[A] food [O] good [S] good [SSEP] [A] service [O] ok [S] ok
sometimes i get good food and ok service . [A] [S] [O]	[A] food [S] good [O] good [SSEP] [A] service [S] ok [O] ok
sometimes i get good food and ok service . [S] [O] [A]	[S] good [O] good [A] food [SSEP] [S] ok [O] ok [A] service
it 's a place for people who pay a lot for mediocre food , noise and a chance to be with their fellow bridge and tunnel folks . [O] [A] [S]	[O] mediocre [A] food [S] ok [SSEP] [O] mediocre [A] noise [S] bad
it 's a place for people who pay a lot for mediocre food , noise and a chance to be with their fellow bridge and tunnel folks . [O] [S] [A]	[O] mediocre [S] ok [A] food [SSEP] [O] mediocre [S] bad [A] noise
it 's a place for people who pay a lot for mediocre food , noise and a chance to be with their fellow bridge and tunnel folks . [A] [O] [S]	[A] food [O] mediocre [S] ok [SSEP] [A] noise [O] mediocre [S] bad
it 's a place for people who pay a lot for mediocre food , noise and a chance to be with their fellow bridge and tunnel folks . [A] [S] [O]	[A] food [S] ok [O] mediocre [SSEP] [A] noise [S] bad [O] mediocre
it 's a place for people who pay a lot for mediocre food , noise and a chance to be with their fellow bridge and tunnel folks . [S] [O] [A]	[S] ok [O] mediocre [A] food [SSEP] [S] bad [O] mediocre [A] noise
after complaining about the chicken dish , the manager came over to tell us that , no one had ever complained before , and that we just did n't know what the dish was supposed to taste like . [O] [A] [S]	[O] complaining [A] chicken dish [S] bad
after complaining about the chicken dish , the manager came over to tell us that , no one had ever complained before , and that we just did n't know what the dish was supposed to taste like . [O] [S] [A]	[O] complaining [S] bad [A] chicken dish
after complaining about the chicken dish , the manager came over to tell us that , no one had ever complained before , and that we just did n't know what the dish was supposed to taste like . [A] [O] [S]	[A] chicken dish [O] complaining [S] bad
after complaining about the chicken dish , the manager came over to tell us that , no one had ever complained before , and that we just did n't know what the dish was supposed to taste like . [A] [S] [O]	[A] chicken dish [S] bad [O] complaining
after complaining about the chicken dish , the manager came over to tell us that , no one had ever complained before , and that we just did n't know what the dish was supposed to taste like . [S] [O] [A]	[S] bad [O] complaining [A] chicken dish
the food was spicy and delicious . [O] [A] [S]	[O] spicy [A] food [S] good [SSEP] [O] delicious [A] food [S] good
the food was spicy and delicious . [O] [S] [A]	[O] spicy [S] good [A] food [SSEP] [O] delicious [S] good [A] food
the food was spicy and delicious . [A] [O] [S]	[A] food [O] spicy [S] good [SSEP] [A] food [O] delicious [S] good
the food was spicy and delicious . [A] [S] [O]	[A] food [S] good [O] spicy [SSEP] [A] food [S] good [O] delicious
the food was spicy and delicious . [S] [O] [A]	[S] good [O] spicy [A] food [SSEP] [S] good [O] delicious [A] food
bartender was unable to tear himself away from friends at bar . [O] [A] [S]	[O] unable to tear [A] bartender [S] bad
bartender was unable to tear himself away from friends at bar . [O] [S] [A]	[O] unable to tear [S] bad [A] bartender
bartender was unable to tear himself away from friends at bar . [A] [O] [S]	[A] bartender [O] unable to tear [S] bad
bartender was unable to tear himself away from friends at bar . [A] [S] [O]	[A] bartender [S] bad [O] unable to tear
bartender was unable to tear himself away from friends at bar . [S] [O] [A]	[S] bad [O] unable to tear [A] bartender
anyways , if you 're in the neighborhood to eat good food , i would n't waste my time trying to find something , rather go across the street to tamari . [O] [A] [S]	[O] good [A] food [S] good
anyways , if you 're in the neighborhood to eat good food , i would n't waste my time trying to find something , rather go across the street to tamari . [O] [S] [A]	[O] good [S] good [A] food
anyways , if you 're in the neighborhood to eat good food , i would n't waste my time trying to find something , rather go across the street to tamari . [A] [O] [S]	[A] food [O] good [S] good
anyways , if you 're in the neighborhood to eat good food , i would n't waste my time trying to find something , rather go across the street to tamari . [A] [S] [O]	[A] food [S] good [O] good
anyways , if you 're in the neighborhood to eat good food , i would n't waste my time trying to find something , rather go across the street to tamari . [S] [O] [A]	[S] good [O] good [A] food
this was my frist time at cafe st. bart 's and i must say how delicous the food and the service was . [O] [A] [S]	[O] delicous [A] food [S] good [SSEP] [O] delicous [A] service [S] good
this was my frist time at cafe st. bart 's and i must say how delicous the food and the service was . [O] [S] [A]	[O] delicous [S] good [A] food [SSEP] [O] delicous [S] good [A] service
this was my frist time at cafe st. bart 's and i must say how delicous the food and the service was . [A] [O] [S]	[A] food [O] delicous [S] good [SSEP] [A] service [O] delicous [S] good
this was my frist time at cafe st. bart 's and i must say how delicous the food and the service was . [A] [S] [O]	[A] food [S] good [O] delicous [SSEP] [A] service [S] good [O] delicous
this was my frist time at cafe st. bart 's and i must say how delicous the food and the service was . [S] [O] [A]	[S] good [O] delicous [A] food [SSEP] [S] good [O] delicous [A] service
one would think we 'd get an apology or complimentary drinks - instead , we got a snobby waiter would n't even take our order for 15 minutes and gave us lip when we asked him to do so . [O] [A] [S]	[O] snobby [A] waiter [S] bad
one would think we 'd get an apology or complimentary drinks - instead , we got a snobby waiter would n't even take our order for 15 minutes and gave us lip when we asked him to do so . [O] [S] [A]	[O] snobby [S] bad [A] waiter
one would think we 'd get an apology or complimentary drinks - instead , we got a snobby waiter would n't even take our order for 15 minutes and gave us lip when we asked him to do so . [A] [O] [S]	[A] waiter [O] snobby [S] bad
one would think we 'd get an apology or complimentary drinks - instead , we got a snobby waiter would n't even take our order for 15 minutes and gave us lip when we asked him to do so . [A] [S] [O]	[A] waiter [S] bad [O] snobby
one would think we 'd get an apology or complimentary drinks - instead , we got a snobby waiter would n't even take our order for 15 minutes and gave us lip when we asked him to do so . [S] [O] [A]	[S] bad [O] snobby [A] waiter
we actually gave 10 % tip ( which we have never done despite mediocre food and service ) , because we felt totally ripped off . [O] [A] [S]	[O] mediocre [A] food [S] ok [SSEP] [O] mediocre [A] service [S] ok
we actually gave 10 % tip ( which we have never done despite mediocre food and service ) , because we felt totally ripped off . [O] [S] [A]	[O] mediocre [S] ok [A] food [SSEP] [O] mediocre [S] ok [A] service
we actually gave 10 % tip ( which we have never done despite mediocre food and service ) , because we felt totally ripped off . [A] [O] [S]	[A] food [O] mediocre [S] ok [SSEP] [A] service [O] mediocre [S] ok
we actually gave 10 % tip ( which we have never done despite mediocre food and service ) , because we felt totally ripped off . [A] [S] [O]	[A] food [S] ok [O] mediocre [SSEP] [A] service [S] ok [O] mediocre
we actually gave 10 % tip ( which we have never done despite mediocre food and service ) , because we felt totally ripped off . [S] [O] [A]	[S] ok [O] mediocre [A] food [SSEP] [S] ok [O] mediocre [A] service
we were looking forward to nice glass of sangria when we arrived . [O] [A] [S]	[O] nice [A] glass of sangria [S] good
we were looking forward to nice glass of sangria when we arrived . [O] [S] [A]	[O] nice [S] good [A] glass of sangria
we were looking forward to nice glass of sangria when we arrived . [A] [O] [S]	[A] glass of sangria [O] nice [S] good
we were looking forward to nice glass of sangria when we arrived . [A] [S] [O]	[A] glass of sangria [S] good [O] nice
we were looking forward to nice glass of sangria when we arrived . [S] [O] [A]	[S] good [O] nice [A] glass of sangria
i would highly recommend requesting a table by the window . [O] [A] [S]	[O] recommend [A] table by the window [S] good
i would highly recommend requesting a table by the window . [O] [S] [A]	[O] recommend [S] good [A] table by the window
i would highly recommend requesting a table by the window . [A] [O] [S]	[A] table by the window [O] recommend [S] good
i would highly recommend requesting a table by the window . [A] [S] [O]	[A] table by the window [S] good [O] recommend
i would highly recommend requesting a table by the window . [S] [O] [A]	[S] good [O] recommend [A] table by the window
while we enjoyed the food , we were highly disappointed by the poor service ( waiter was not quite competent and slow service ) and lack of remorse . [O] [A] [S]	[O] enjoyed [A] food [S] good [SSEP] [O] poor [A] service [S] bad [SSEP] [O] not quite competent [A] waiter [S] bad [SSEP] [O] slow [A] service [S] bad
while we enjoyed the food , we were highly disappointed by the poor service ( waiter was not quite competent and slow service ) and lack of remorse . [O] [S] [A]	[O] enjoyed [S] good [A] food [SSEP] [O] poor [S] bad [A] service [SSEP] [O] not quite competent [S] bad [A] waiter [SSEP] [O] slow [S] bad [A] service
while we enjoyed the food , we were highly disappointed by the poor service ( waiter was not quite competent and slow service ) and lack of remorse . [A] [O] [S]	[A] food [O] enjoyed [S] good [SSEP] [A] service [O] poor [S] bad [SSEP] [A] waiter [O] not quite competent [S] bad [SSEP] [A] service [O] slow [S] bad
while we enjoyed the food , we were highly disappointed by the poor service ( waiter was not quite competent and slow service ) and lack of remorse . [A] [S] [O]	[A] food [S] good [O] enjoyed [SSEP] [A] service [S] bad [O] poor [SSEP] [A] waiter [S] bad [O] not quite competent [SSEP] [A] service [S] bad [O] slow
while we enjoyed the food , we were highly disappointed by the poor service ( waiter was not quite competent and slow service ) and lack of remorse . [S] [O] [A]	[S] good [O] enjoyed [A] food [SSEP] [S] bad [O] poor [A] service [SSEP] [S] bad [O] not quite competent [A] waiter [SSEP] [S] bad [O] slow [A] service
we 've been to grocery three times and not once has an item on the menu disappointed . [O] [A] [S]	[O] disappointed [A] menu [S] good
we 've been to grocery three times and not once has an item on the menu disappointed . [O] [S] [A]	[O] disappointed [S] good [A] menu
we 've been to grocery three times and not once has an item on the menu disappointed . [A] [O] [S]	[A] menu [O] disappointed [S] good
we 've been to grocery three times and not once has an item on the menu disappointed . [A] [S] [O]	[A] menu [S] good [O] disappointed
we 've been to grocery three times and not once has an item on the menu disappointed . [S] [O] [A]	[S] good [O] disappointed [A] menu
a touch more jalapeno heat for contrast and it would have been very good indeed . [O] [A] [S]	[O] good [A] jalapeno [S] good
a touch more jalapeno heat for contrast and it would have been very good indeed . [O] [S] [A]	[O] good [S] good [A] jalapeno
a touch more jalapeno heat for contrast and it would have been very good indeed . [A] [O] [S]	[A] jalapeno [O] good [S] good
a touch more jalapeno heat for contrast and it would have been very good indeed . [A] [S] [O]	[A] jalapeno [S] good [O] good
a touch more jalapeno heat for contrast and it would have been very good indeed . [S] [O] [A]	[S] good [O] good [A] jalapeno
we ate out in the back patio , which is worth it as it 's cool and the music is hear well there . [O] [A] [S]	[O] worth [A] back patio [S] good [SSEP] [O] cool [A] back patio [S] good [SSEP] [O] well [A] music [S] good
we ate out in the back patio , which is worth it as it 's cool and the music is hear well there . [O] [S] [A]	[O] worth [S] good [A] back patio [SSEP] [O] cool [S] good [A] back patio [SSEP] [O] well [S] good [A] music
we ate out in the back patio , which is worth it as it 's cool and the music is hear well there . [A] [O] [S]	[A] back patio [O] worth [S] good [SSEP] [A] back patio [O] cool [S] good [SSEP] [A] music [O] well [S] good
we ate out in the back patio , which is worth it as it 's cool and the music is hear well there . [A] [S] [O]	[A] back patio [S] good [O] worth [SSEP] [A] back patio [S] good [O] cool [SSEP] [A] music [S] good [O] well
we ate out in the back patio , which is worth it as it 's cool and the music is hear well there . [S] [O] [A]	[S] good [O] worth [A] back patio [SSEP] [S] good [O] cool [A] back patio [SSEP] [S] good [O] well [A] music
guacamole+shrimp appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared . [O] [A] [S]	[O] great [A] guacamole+shrimp appetizer [S] good [SSEP] [O] good [A] filet [S] good [SSEP] [O] good [A] filet [S] good
guacamole+shrimp appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared . [O] [S] [A]	[O] great [S] good [A] guacamole+shrimp appetizer [SSEP] [O] good [S] good [A] filet [SSEP] [O] good [S] good [A] filet
guacamole+shrimp appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared . [A] [O] [S]	[A] guacamole+shrimp appetizer [O] great [S] good [SSEP] [A] filet [O] good [S] good [SSEP] [A] filet [O] good [S] good
guacamole+shrimp appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared . [A] [S] [O]	[A] guacamole+shrimp appetizer [S] good [O] great [SSEP] [A] filet [S] good [O] good [SSEP] [A] filet [S] good [O] good
guacamole+shrimp appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared . [S] [O] [A]	[S] good [O] great [A] guacamole+shrimp appetizer [SSEP] [S] good [O] good [A] filet [SSEP] [S] good [O] good [A] filet
nothing fancy but really good food with pretty reasonable price . [O] [A] [S]	[O] good [A] food [S] good [SSEP] [O] reasonable [A] price [S] good
nothing fancy but really good food with pretty reasonable price . [O] [S] [A]	[O] good [S] good [A] food [SSEP] [O] reasonable [S] good [A] price
nothing fancy but really good food with pretty reasonable price . [A] [O] [S]	[A] food [O] good [S] good [SSEP] [A] price [O] reasonable [S] good
nothing fancy but really good food with pretty reasonable price . [A] [S] [O]	[A] food [S] good [O] good [SSEP] [A] price [S] good [O] reasonable
nothing fancy but really good food with pretty reasonable price . [S] [O] [A]	[S] good [O] good [A] food [SSEP] [S] good [O] reasonable [A] price
while i quite liked the food and the ambience , i 'm not quite sure if it they really deserve it the michelin rating they have displayed so prooudly in the window . [O] [A] [S]	[O] liked [A] food [S] good [SSEP] [O] liked [A] ambience [S] good
while i quite liked the food and the ambience , i 'm not quite sure if it they really deserve it the michelin rating they have displayed so prooudly in the window . [O] [S] [A]	[O] liked [S] good [A] food [SSEP] [O] liked [S] good [A] ambience
while i quite liked the food and the ambience , i 'm not quite sure if it they really deserve it the michelin rating they have displayed so prooudly in the window . [A] [O] [S]	[A] food [O] liked [S] good [SSEP] [A] ambience [O] liked [S] good
while i quite liked the food and the ambience , i 'm not quite sure if it they really deserve it the michelin rating they have displayed so prooudly in the window . [A] [S] [O]	[A] food [S] good [O] liked [SSEP] [A] ambience [S] good [O] liked
while i quite liked the food and the ambience , i 'm not quite sure if it they really deserve it the michelin rating they have displayed so prooudly in the window . [S] [O] [A]	[S] good [O] liked [A] food [SSEP] [S] good [O] liked [A] ambience
not worth the prices . [O] [A] [S]	[O] worth [A] prices [S] bad
not worth the prices . [O] [S] [A]	[O] worth [S] bad [A] prices
not worth the prices . [A] [O] [S]	[A] prices [O] worth [S] bad
not worth the prices . [A] [S] [O]	[A] prices [S] bad [O] worth
not worth the prices . [S] [O] [A]	[S] bad [O] worth [A] prices
from the moment you enter till the moment you walk out the friendly and helpful staff was was just fantastic . [O] [A] [S]	[O] friendly [A] staff [S] good [SSEP] [O] helpful [A] staff [S] good [SSEP] [O] fantastic [A] staff [S] good
from the moment you enter till the moment you walk out the friendly and helpful staff was was just fantastic . [O] [S] [A]	[O] friendly [S] good [A] staff [SSEP] [O] helpful [S] good [A] staff [SSEP] [O] fantastic [S] good [A] staff
from the moment you enter till the moment you walk out the friendly and helpful staff was was just fantastic . [A] [O] [S]	[A] staff [O] friendly [S] good [SSEP] [A] staff [O] helpful [S] good [SSEP] [A] staff [O] fantastic [S] good
from the moment you enter till the moment you walk out the friendly and helpful staff was was just fantastic . [A] [S] [O]	[A] staff [S] good [O] friendly [SSEP] [A] staff [S] good [O] helpful [SSEP] [A] staff [S] good [O] fantastic
from the moment you enter till the moment you walk out the friendly and helpful staff was was just fantastic . [S] [O] [A]	[S] good [O] friendly [A] staff [SSEP] [S] good [O] helpful [A] staff [SSEP] [S] good [O] fantastic [A] staff
service was good and food is wonderful . [O] [A] [S]	[O] good [A] service [S] good [SSEP] [O] wonderful [A] food [S] good
service was good and food is wonderful . [O] [S] [A]	[O] good [S] good [A] service [SSEP] [O] wonderful [S] good [A] food
service was good and food is wonderful . [A] [O] [S]	[A] service [O] good [S] good [SSEP] [A] food [O] wonderful [S] good
service was good and food is wonderful . [A] [S] [O]	[A] service [S] good [O] good [SSEP] [A] food [S] good [O] wonderful
service was good and food is wonderful . [S] [O] [A]	[S] good [O] good [A] service [SSEP] [S] good [O] wonderful [A] food
the quality of food at this restaurant accompanied by fantastic live jazz makes this place a perfect 10 ! [O] [A] [S]	[O] perfect [A] quality of food [S] good [SSEP] [O] fantastic [A] live jazz [S] good
the quality of food at this restaurant accompanied by fantastic live jazz makes this place a perfect 10 ! [O] [S] [A]	[O] perfect [S] good [A] quality of food [SSEP] [O] fantastic [S] good [A] live jazz
the quality of food at this restaurant accompanied by fantastic live jazz makes this place a perfect 10 ! [A] [O] [S]	[A] quality of food [O] perfect [S] good [SSEP] [A] live jazz [O] fantastic [S] good
the quality of food at this restaurant accompanied by fantastic live jazz makes this place a perfect 10 ! [A] [S] [O]	[A] quality of food [S] good [O] perfect [SSEP] [A] live jazz [S] good [O] fantastic
